operation_id,timestamp,conteneur_id,type_operation,zone,engin,duree_minutes,operateur,urgence,erreur,completed
OP000016,2026-01-01 12:51:57.915562,CONT003274,DEBARQUEMENT_TRAIN,QUAI_2_ROUTIER,TRACTEUR_07,51.1,OPE003,False,False,True
OP000017,2026-01-01 11:54:18.669874,CONT003601,DECONSOLIDATION,ZONE_A_STOCKAGE,GERBEUR_10,142.0,OPE013,False,False,True
OP000018,2026-01-01 18:19:16.433751,CONT004483,CHARGEMENT_CAMION,QUAI_3_FLUVIAL,GERBEUR_02,35.0,OPE014,False,False,True
OP000019,2026-01-01 12:17:31.808434,CONT004942,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,TRACTEUR_02,9.5,OPE023,False,False,True
OP000020,2026-01-01 08:19:36.077336,CONT000814,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,PORTIQUE_04,44.2,OPE005,False,False,True
OP000021,2026-01-01 13:13:53.848386,CONT000170,DEBARQUEMENT_CAMION,QUAI_1_FERROVIAIRE,TRACTEUR_03,19.0,OPE020,False,False,True
OP000022,2026-01-01 14:43:22.501432,CONT001893,INSPECTION_DOUANE,QUAI_3_FLUVIAL,GERBEUR_11,45.2,OPE017,False,False,True
OP000023,2026-01-01 09:33:19.476546,CONT001605,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,GERBEUR_11,41.6,OPE008,False,False,True
OP000024,2026-01-01 14:31:37.030756,CONT002488,DEBARQUEMENT_TRAIN,QUAI_3_FLUVIAL,GERBEUR_02,55.9,OPE022,False,False,True
OP000025,2026-01-01 19:19:18.029668,CONT001457,TRANSFERT_ZONE,QUAI_1_FERROVIAIRE,PORTIQUE_02,14.3,OPE008,False,False,True
OP000026,2026-01-01 18:34:43.083094,CONT002883,DEBARQUEMENT_TRAIN,AIRE_DECONSOLIDATION,TRACTEUR_06,44.6,OPE024,False,False,True
OP000027,2026-01-01 17:30:17.071275,CONT003359,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_04,24.0,OPE003,False,False,True
OP000028,2026-01-01 16:36:19.053173,CONT000674,CHARGEMENT_CAMION,ZONE_A_STOCKAGE,GERBEUR_10,40.1,OPE024,False,False,True
OP000029,2026-01-01 07:37:55.489372,CONT003755,CHARGEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_01,28.6,OPE013,False,False,True
OP000030,2026-01-01 11:26:40.136834,CONT001850,CHARGEMENT_CAMION,AIRE_DECONSOLIDATION,TRACTEUR_05,22.0,OPE012,False,False,True
OP000031,2026-01-01 12:36:16.890954,CONT000105,TRANSFERT_ZONE,ZONE_B_STOCKAGE,PORTIQUE_03,20.2,OPE006,False,False,True
OP000032,2026-01-01 12:50:45.241643,CONT004818,DEBARQUEMENT_TRAIN,QUAI_1_FERROVIAIRE,GERBEUR_05,32.6,OPE022,False,False,True
OP000033,2026-01-01 15:17:43.231902,CONT002040,TRANSFERT_ZONE,ZONE_C_DANGEREUX,GERBEUR_07,10.0,OPE013,False,False,True
OP000034,2026-01-01 13:28:17.744105,CONT004513,DECONSOLIDATION,AIRE_REGROUPEMENT,GERBEUR_09,75.6,OPE011,False,False,True
OP000035,2026-01-01 12:10:14.883370,CONT003997,REGROUPEMENT,QUAI_2_ROUTIER,GERBEUR_12,93.9,OPE010,False,False,True
OP000036,2026-01-01 11:27:37.944911,CONT001010,CHARGEMENT_CAMION,AIRE_REGROUPEMENT,PORTIQUE_04,43.8,OPE022,False,False,True
OP000037,2026-01-01 10:37:08.455050,CONT003311,REGROUPEMENT,AIRE_REGROUPEMENT,TRACTEUR_02,93.8,OPE004,False,False,True
OP000038,2026-01-01 09:23:05.249681,CONT000588,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_07,23.2,OPE009,False,False,True
OP000039,2026-01-01 19:47:16.015224,CONT001877,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_07,28.9,OPE017,False,False,False
OP000040,2026-01-01 15:35:03.059462,CONT004825,DEBARQUEMENT_TRAIN,QUAI_1_FERROVIAIRE,GERBEUR_11,32.9,OPE016,False,False,True
OP000041,2026-01-01 18:12:47.680889,CONT003513,TRANSFERT_ZONE,AIRE_REGROUPEMENT,TRACTEUR_03,25.7,OPE018,False,False,True
OP000042,2026-01-01 15:36:36.268414,CONT002876,DEBARQUEMENT_TRAIN,QUAI_2_ROUTIER,GERBEUR_04,51.5,OPE009,False,False,True
OP000043,2026-01-01 19:26:20.657540,CONT000420,CHARGEMENT_CAMION,QUAI_3_FLUVIAL,PORTIQUE_04,24.6,OPE012,False,False,True
OP000044,2026-01-01 20:22:04.949457,CONT004061,DECONSOLIDATION,QUAI_1_FERROVIAIRE,GERBEUR_12,95.6,OPE004,False,False,True
OP000045,2026-01-01 11:24:58.577188,CONT003023,CHARGEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_06,33.2,OPE008,False,False,True
OP000046,2026-01-01 10:20:09.741199,CONT002182,DEBARQUEMENT_TRAIN,ZONE_B_STOCKAGE,TRACTEUR_01,44.5,OPE019,False,False,True
OP000047,2026-01-01 14:56:36.655978,CONT004526,TRANSFERT_ZONE,ZONE_B_STOCKAGE,GERBEUR_04,20.8,OPE014,False,False,True
OP000048,2026-01-01 15:48:38.732009,CONT004873,DECONSOLIDATION,QUAI_3_FLUVIAL,TRACTEUR_01,107.1,OPE020,False,False,False
OP000049,2026-01-01 17:29:14.148567,CONT004580,INSPECTION_DOUANE,QUAI_3_FLUVIAL,GERBEUR_08,61.0,OPE014,False,False,True
OP000050,2026-01-01 17:40:48.138434,CONT001209,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,PORTIQUE_03,54.1,OPE024,False,False,True
OP000051,2026-01-01 12:59:48.035865,CONT001581,DEBARQUEMENT_TRAIN,ZONE_A_STOCKAGE,GERBEUR_02,43.7,OPE012,False,False,True
OP000052,2026-01-01 08:17:25.595320,CONT003364,DEBARQUEMENT_CAMION,QUAI_1_FERROVIAIRE,TRACTEUR_07,23.7,OPE017,False,False,True
OP000053,2026-01-01 14:07:31.448691,CONT001173,DEBARQUEMENT_TRAIN,AIRE_DECONSOLIDATION,TRACTEUR_06,45.6,OPE016,False,False,True
OP000054,2026-01-01 18:39:43.496685,CONT004163,DEBARQUEMENT_TRAIN,QUAI_3_FLUVIAL,GERBEUR_02,58.5,OPE003,False,False,True
OP000055,2026-01-01 12:54:20.209966,CONT001149,DEBARQUEMENT_CAMION,ZONE_A_STOCKAGE,TRACTEUR_07,21.2,OPE014,False,False,True
OP000056,2026-01-01 11:22:59.881651,CONT002036,CHARGEMENT_CAMION,QUAI_1_FERROVIAIRE,GERBEUR_04,28.9,OPE023,False,False,True
OP000057,2026-01-01 15:53:41.379268,CONT003846,DEBARQUEMENT_TRAIN,QUAI_2_ROUTIER,GERBEUR_12,39.0,OPE020,False,False,True
OP000058,2026-01-01 09:43:15.567322,CONT004010,CHARGEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_09,30.3,OPE010,False,False,True
OP000059,2026-01-01 22:00:00.042984,CONT003070,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,GERBEUR_09,12.4,OPE019,False,False,True
OP000060,2026-01-01 06:00:00.940723,CONT000075,DECONSOLIDATION,ZONE_C_DANGEREUX,PORTIQUE_01,142.0,OPE012,False,False,True
OP000061,2026-01-01 13:43:53.292272,CONT002306,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,GERBEUR_01,10.8,OPE024,False,False,False
OP000062,2026-01-01 14:35:46.572382,CONT001033,INSPECTION_DOUANE,AIRE_REGROUPEMENT,GERBEUR_04,53.6,OPE021,False,False,True
OP000063,2026-01-01 11:56:32.074809,CONT000825,DEBARQUEMENT_TRAIN,AIRE_DECONSOLIDATION,PORTIQUE_01,34.6,OPE023,False,False,True
OP000064,2026-01-01 14:24:23.851525,CONT002929,CHARGEMENT_CAMION,ZONE_A_STOCKAGE,GERBEUR_10,27.5,OPE008,False,False,True
OP000065,2026-01-01 14:28:53.876206,CONT004071,CHARGEMENT_CAMION,QUAI_2_ROUTIER,GERBEUR_09,26.7,OPE005,False,False,True
OP000066,2026-01-01 09:06:48.107668,CONT000706,REGROUPEMENT,QUAI_2_ROUTIER,GERBEUR_05,77.7,OPE006,False,True,True
OP000067,2026-01-01 17:51:01.206340,CONT001328,CHARGEMENT_CAMION,QUAI_2_ROUTIER,TRACTEUR_03,25.3,OPE017,False,False,True
OP000068,2026-01-01 19:00:11.116005,CONT001722,TRANSFERT_ZONE,AIRE_REGROUPEMENT,GERBEUR_03,11.9,OPE007,False,False,True
OP000069,2026-01-01 12:49:09.206753,CONT001506,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,PORTIQUE_03,24.3,OPE004,False,False,True
OP000070,2026-01-01 15:25:00.924439,CONT004878,CHARGEMENT_CAMION,ZONE_A_STOCKAGE,PORTIQUE_02,28.7,OPE007,False,False,True
OP000071,2026-01-01 11:22:55.891241,CONT004503,CHARGEMENT_CAMION,QUAI_2_ROUTIER,TRACTEUR_01,30.0,OPE024,False,False,True
OP000072,2026-01-01 06:00:00.002606,CONT001689,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_01,17.2,OPE019,False,True,True
OP000073,2026-01-01 06:03:48.689887,CONT003976,DEBARQUEMENT_TRAIN,ZONE_C_DANGEREUX,TRACTEUR_06,50.3,OPE024,False,False,True
OP000074,2026-01-01 11:54:57.922422,CONT003386,DEBARQUEMENT_CAMION,ZONE_C_DANGEREUX,GERBEUR_04,29.8,OPE002,False,False,True
OP000075,2026-01-01 16:49:40.164243,CONT003254,TRANSFERT_ZONE,QUAI_1_FERROVIAIRE,TRACTEUR_05,16.2,OPE016,False,False,True
OP000076,2026-01-01 13:56:11.844041,CONT001248,REGROUPEMENT,ZONE_B_STOCKAGE,GERBEUR_01,97.0,OPE021,False,False,True
OP000077,2026-01-01 06:30:13.416500,CONT002454,CHARGEMENT_CAMION,QUAI_2_ROUTIER,GERBEUR_11,42.6,OPE018,False,False,True
OP000078,2026-01-01 09:15:59.521522,CONT003915,DEBARQUEMENT_TRAIN,QUAI_3_FLUVIAL,GERBEUR_06,51.9,OPE004,False,False,True
OP000079,2026-01-01 18:18:55.459430,CONT000647,CHARGEMENT_CAMION,AIRE_REGROUPEMENT,TRACTEUR_01,7.7,OPE022,False,False,True
OP000080,2026-01-01 10:17:05.814208,CONT003763,CHARGEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_04,23.9,OPE008,False,False,True
OP000081,2026-01-01 14:19:07.084917,CONT003424,TRANSFERT_ZONE,QUAI_1_FERROVIAIRE,TRACTEUR_06,12.0,OPE002,False,False,True
OP000082,2026-01-01 11:57:34.141467,CONT000251,DEBARQUEMENT_TRAIN,QUAI_1_FERROVIAIRE,GERBEUR_09,33.2,OPE020,False,False,True
OP000083,2026-01-01 15:49:07.371256,CONT000460,DEBARQUEMENT_TRAIN,ZONE_B_STOCKAGE,GERBEUR_12,50.5,OPE023,False,False,False
OP000084,2026-01-01 15:44:23.028873,CONT004282,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_02,24.0,OPE002,False,False,False
OP000085,2026-01-01 06:00:00.035553,CONT000584,DEBARQUEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_11,22.8,OPE016,False,False,True
OP000086,2026-01-01 12:03:48.042271,CONT002353,DEBARQUEMENT_CAMION,ZONE_A_STOCKAGE,TRACTEUR_04,29.7,OPE023,False,False,True
OP000087,2026-01-01 12:14:26.486629,CONT001396,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,GERBEUR_06,62.9,OPE018,False,False,True
OP000088,2026-01-01 15:25:29.817132,CONT000041,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_08,20.1,OPE025,False,False,True
OP000089,2026-01-01 16:38:07.183988,CONT001135,MAINTENANCE,QUAI_3_FLUVIAL,TRACTEUR_03,169.7,OPE014,False,False,True
OP000090,2026-01-01 22:00:00.186043,CONT001867,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,TRACTEUR_02,29.4,OPE013,False,False,True
OP000091,2026-01-01 11:22:22.561891,CONT004697,TRANSFERT_ZONE,ZONE_C_DANGEREUX,PORTIQUE_01,23.4,OPE025,False,False,True
OP000092,2026-01-01 12:33:46.730340,CONT002516,INSPECTION_DOUANE,ZONE_B_STOCKAGE,GERBEUR_10,48.4,OPE023,False,False,True
OP000093,2026-01-01 14:21:06.154181,CONT003394,DEBARQUEMENT_TRAIN,ZONE_B_STOCKAGE,GERBEUR_11,54.1,OPE022,False,False,True
OP000094,2026-01-01 14:48:57.028660,CONT003969,CHARGEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_12,28.4,OPE009,False,False,True
OP000095,2026-01-01 08:27:41.160860,CONT004521,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,TRACTEUR_03,33.6,OPE013,False,False,True
OP000096,2026-01-01 10:37:55.582143,CONT003912,DEBARQUEMENT_TRAIN,ZONE_B_STOCKAGE,PORTIQUE_02,40.6,OPE018,False,False,True
OP000097,2026-01-01 13:27:24.737254,CONT000973,TRANSFERT_ZONE,QUAI_1_FERROVIAIRE,GERBEUR_09,14.8,OPE022,False,False,True
OP000098,2026-01-01 10:27:39.567460,CONT004057,DEBARQUEMENT_CAMION,QUAI_2_ROUTIER,GERBEUR_12,21.1,OPE012,False,False,True
OP000099,2026-01-01 11:49:01.466083,CONT002963,CHARGEMENT_CAMION,QUAI_1_FERROVIAIRE,PORTIQUE_03,23.5,OPE023,False,False,True
OP000100,2026-01-02 18:51:15.667460,CONT003379,DEBARQUEMENT_TRAIN,QUAI_3_FLUVIAL,TRACTEUR_02,52.8,OPE019,False,False,True
OP000101,2026-01-02 09:17:11.124639,CONT000948,CHARGEMENT_CAMION,ZONE_C_DANGEREUX,PORTIQUE_03,16.2,OPE002,False,False,True
OP000102,2026-01-02 07:12:47.744335,CONT004097,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_10,9.9,OPE021,False,False,True
OP000103,2026-01-02 18:50:24.707302,CONT000488,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,PORTIQUE_04,17.9,OPE002,False,False,True
OP000104,2026-01-02 17:56:54.704963,CONT000604,INSPECTION_DOUANE,AIRE_REGROUPEMENT,GERBEUR_04,45.3,OPE011,False,False,True
OP000105,2026-01-02 21:11:37.974975,CONT000959,DEBARQUEMENT_TRAIN,ZONE_C_DANGEREUX,GERBEUR_02,36.5,OPE022,False,False,True
OP000106,2026-01-02 11:34:34.153683,CONT004407,DEBARQUEMENT_TRAIN,QUAI_2_ROUTIER,PORTIQUE_03,45.4,OPE021,False,False,True
OP000107,2026-01-02 07:49:52.418443,CONT001082,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,GERBEUR_11,19.4,OPE017,False,False,True
OP000108,2026-01-02 14:27:40.171267,CONT003881,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,TRACTEUR_02,62.8,OPE018,False,False,True
OP000109,2026-01-02 18:38:41.675034,CONT000462,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,GERBEUR_10,31.3,OPE003,False,False,True
OP000110,2026-01-02 14:09:24.695365,CONT003958,MAINTENANCE,ZONE_C_DANGEREUX,PORTIQUE_04,215.7,OPE019,False,False,True
OP000111,2026-01-02 09:53:46.609779,CONT004534,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_10,20.2,OPE008,False,False,True
OP000112,2026-01-02 15:29:44.567073,CONT003037,TRANSFERT_ZONE,QUAI_3_FLUVIAL,GERBEUR_12,8.9,OPE011,False,False,True
OP000113,2026-01-02 10:18:27.078422,CONT002715,DEBARQUEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_03,19.5,OPE011,False,False,True
OP000114,2026-01-02 14:57:48.332435,CONT003440,INSPECTION_DOUANE,QUAI_3_FLUVIAL,PORTIQUE_04,48.9,OPE008,False,False,True
OP000115,2026-01-02 22:00:00.913939,CONT003127,DECONSOLIDATION,ZONE_C_DANGEREUX,GERBEUR_04,155.8,OPE013,False,False,True
OP000116,2026-01-02 09:59:32.721868,CONT002124,CHARGEMENT_CAMION,QUAI_1_FERROVIAIRE,GERBEUR_12,27.9,OPE013,False,False,True
OP000117,2026-01-02 19:13:23.788507,CONT002809,DECONSOLIDATION,ZONE_C_DANGEREUX,GERBEUR_05,150.3,OPE003,False,False,True
OP000118,2026-01-02 15:36:47.930077,CONT000073,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,GERBEUR_02,19.5,OPE010,False,False,True
OP000119,2026-01-02 08:08:51.050830,CONT001386,DECONSOLIDATION,ZONE_A_STOCKAGE,TRACTEUR_01,127.3,OPE012,False,False,True
OP000120,2026-01-02 21:19:15.161741,CONT000823,TRANSFERT_ZONE,ZONE_A_STOCKAGE,PORTIQUE_02,12.5,OPE021,False,False,True
OP000121,2026-01-02 09:31:42.752141,CONT003899,CHARGEMENT_CAMION,AIRE_DECONSOLIDATION,PORTIQUE_02,18.7,OPE024,False,False,True
OP000122,2026-01-02 15:33:00.830898,CONT002333,CHARGEMENT_CAMION,ZONE_C_DANGEREUX,TRACTEUR_05,35.7,OPE008,False,False,True
OP000123,2026-01-02 11:48:40.001843,CONT000544,TRANSFERT_ZONE,ZONE_C_DANGEREUX,GERBEUR_04,23.9,OPE008,False,False,True
OP000124,2026-01-02 14:23:45.369422,CONT003337,CHARGEMENT_CAMION,AIRE_REGROUPEMENT,GERBEUR_11,26.4,OPE018,False,False,True
OP000125,2026-01-02 15:26:03.028853,CONT001578,DEBARQUEMENT_CAMION,ZONE_A_STOCKAGE,TRACTEUR_01,17.1,OPE009,False,False,True
OP000126,2026-01-02 14:46:50.780187,CONT004979,CHARGEMENT_CAMION,QUAI_3_FLUVIAL,GERBEUR_10,22.0,OPE003,False,False,True
OP000127,2026-01-02 06:45:59.732383,CONT003588,TRANSFERT_ZONE,QUAI_2_ROUTIER,TRACTEUR_01,14.3,OPE024,False,False,True
OP000128,2026-01-02 18:16:18.551911,CONT001824,DEBARQUEMENT_TRAIN,ZONE_C_DANGEREUX,GERBEUR_11,52.5,OPE010,False,False,True
OP000129,2026-01-02 10:27:21.571417,CONT001824,TRANSFERT_ZONE,ZONE_C_DANGEREUX,GERBEUR_06,14.9,OPE001,False,False,True
OP000130,2026-01-02 16:13:10.116497,CONT001449,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_06,30.2,OPE010,False,False,True
OP000131,2026-01-02 14:20:48.009368,CONT001338,TRANSFERT_ZONE,ZONE_C_DANGEREUX,GERBEUR_04,18.7,OPE019,False,False,True
OP000132,2026-01-02 16:51:25.185937,CONT004766,INSPECTION_DOUANE,ZONE_C_DANGEREUX,TRACTEUR_07,98.3,OPE009,False,False,True
OP000133,2026-01-02 17:10:32.235257,CONT001232,DEBARQUEMENT_CAMION,ZONE_C_DANGEREUX,GERBEUR_01,21.5,OPE009,False,False,True
OP000134,2026-01-02 18:38:47.286802,CONT004838,MAINTENANCE,AIRE_DECONSOLIDATION,GERBEUR_04,227.7,OPE011,False,False,True
OP000135,2026-01-02 13:29:16.540679,CONT000099,DEBARQUEMENT_TRAIN,AIRE_DECONSOLIDATION,GERBEUR_08,37.4,OPE005,False,False,True
OP000136,2026-01-02 18:41:13.783027,CONT002461,REGROUPEMENT,ZONE_B_STOCKAGE,GERBEUR_06,102.5,OPE019,False,False,True
OP000137,2026-01-02 19:50:06.491970,CONT001293,DECONSOLIDATION,QUAI_3_FLUVIAL,GERBEUR_02,113.1,OPE003,False,False,True
OP000138,2026-01-02 09:35:06.241778,CONT001357,TRANSFERT_ZONE,QUAI_2_ROUTIER,TRACTEUR_02,18.9,OPE025,False,False,True
OP000139,2026-01-02 17:17:46.387252,CONT004998,DEBARQUEMENT_TRAIN,QUAI_1_FERROVIAIRE,PORTIQUE_02,48.0,OPE001,False,False,True
OP000140,2026-01-02 12:54:10.608856,CONT004868,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_04,22.4,OPE010,False,False,True
OP000141,2026-01-02 20:53:20.398795,CONT002082,CHARGEMENT_CAMION,QUAI_2_ROUTIER,GERBEUR_08,36.9,OPE014,False,False,True
OP000142,2026-01-02 09:07:15.013273,CONT004855,TRANSFERT_ZONE,QUAI_1_FERROVIAIRE,GERBEUR_02,5.0,OPE002,False,False,True
OP000143,2026-01-02 09:31:46.942684,CONT004076,CHARGEMENT_CAMION,QUAI_1_FERROVIAIRE,PORTIQUE_03,37.4,OPE005,False,False,True
OP000144,2026-01-02 09:07:29.521039,CONT004935,DEBARQUEMENT_CAMION,QUAI_3_FLUVIAL,PORTIQUE_04,15.1,OPE011,False,False,True
OP000145,2026-01-02 18:26:54.242011,CONT002878,TRANSFERT_ZONE,ZONE_A_STOCKAGE,PORTIQUE_03,19.3,OPE010,False,False,True
OP000146,2026-01-02 19:17:22.580044,CONT000096,DEBARQUEMENT_TRAIN,ZONE_C_DANGEREUX,TRACTEUR_04,38.7,OPE016,False,False,True
OP000147,2026-01-02 19:47:49.916677,CONT000107,TRANSFERT_ZONE,AIRE_REGROUPEMENT,TRACTEUR_04,14.4,OPE015,False,False,True
OP000148,2026-01-02 22:00:00.360350,CONT000445,DECONSOLIDATION,ZONE_A_STOCKAGE,PORTIQUE_02,108.3,OPE025,False,False,True
OP000149,2026-01-02 19:27:15.430768,CONT001291,MAINTENANCE,AIRE_REGROUPEMENT,GERBEUR_03,193.6,OPE009,False,False,True
OP000150,2026-01-02 16:26:49.085059,CONT001332,DEBARQUEMENT_TRAIN,QUAI_2_ROUTIER,GERBEUR_05,62.2,OPE014,True,False,True
OP000151,2026-01-02 18:09:16.024310,CONT001141,INSPECTION_DOUANE,AIRE_DECONSOLIDATION,GERBEUR_08,20.2,OPE021,False,False,True
OP000152,2026-01-02 16:09:39.992232,CONT002560,CHARGEMENT_CAMION,ZONE_C_DANGEREUX,GERBEUR_02,24.4,OPE017,False,False,True
OP000153,2026-01-02 11:57:09.738069,CONT000394,DEBARQUEMENT_CAMION,QUAI_1_FERROVIAIRE,TRACTEUR_01,30.8,OPE016,False,False,True
OP000154,2026-01-02 11:29:22.742401,CONT001582,DEBARQUEMENT_TRAIN,AIRE_DECONSOLIDATION,TRACTEUR_07,54.3,OPE001,False,False,True
OP000155,2026-01-02 22:00:00.501651,CONT001153,INSPECTION_DOUANE,QUAI_2_ROUTIER,GERBEUR_11,97.5,OPE001,False,False,True
OP000156,2026-01-02 20:46:30.924351,CONT000153,MAINTENANCE,ZONE_C_DANGEREUX,TRACTEUR_02,218.6,OPE017,False,False,True
OP000157,2026-01-02 14:28:05.960927,CONT004209,DEBARQUEMENT_CAMION,ZONE_B_STOCKAGE,PORTIQUE_03,21.7,OPE006,False,False,True
OP000158,2026-01-02 12:30:04.574029,CONT004359,DEBARQUEMENT_CAMION,QUAI_2_ROUTIER,TRACTEUR_06,12.3,OPE015,False,False,True
OP000159,2026-01-02 17:18:22.236919,CONT002993,TRANSFERT_ZONE,ZONE_B_STOCKAGE,GERBEUR_12,21.9,OPE003,False,False,True
OP000160,2026-01-02 20:34:26.813824,CONT002018,DEBARQUEMENT_TRAIN,ZONE_A_STOCKAGE,GERBEUR_07,39.9,OPE012,False,False,True
OP000161,2026-01-02 12:46:22.125497,CONT003561,DECONSOLIDATION,QUAI_3_FLUVIAL,TRACTEUR_04,110.8,OPE014,False,False,True
OP000162,2026-01-02 13:15:26.961828,CONT001729,DECONSOLIDATION,AIRE_REGROUPEMENT,TRACTEUR_04,73.0,OPE014,False,False,True
OP000163,2026-01-02 08:33:36.124842,CONT001211,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,TRACTEUR_05,28.2,OPE010,False,False,True
OP000164,2026-01-02 13:27:22.687056,CONT004548,DEBARQUEMENT_CAMION,AIRE_REGROUPEMENT,TRACTEUR_02,25.5,OPE004,False,False,True
OP000165,2026-01-02 06:00:00.226881,CONT001444,DEBARQUEMENT_TRAIN,AIRE_REGROUPEMENT,GERBEUR_12,37.7,OPE023,False,False,True
OP000166,2026-01-02 18:32:10.589856,CONT004077,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,TRACTEUR_02,32.7,OPE003,False,False,True
OP000167,2026-01-02 15:51:00.501835,CONT001779,DECONSOLIDATION,QUAI_2_ROUTIER,GERBEUR_12,131.3,OPE022,False,False,True
OP000168,2026-01-02 12:01:02.707195,CONT004353,DECONSOLIDATION,QUAI_1_FERROVIAIRE,GERBEUR_05,94.3,OPE017,False,False,True
OP000169,2026-01-02 12:29:02.373330,CONT003074,CHARGEMENT_CAMION,QUAI_3_FLUVIAL,GERBEUR_12,31.5,OPE017,False,False,True
OP000170,2026-01-02 18:40:36.230424,CONT004953,CHARGEMENT_CAMION,ZONE_C_DANGEREUX,PORTIQUE_03,23.6,OPE020,False,False,True
OP000171,2026-01-02 15:01:20.755403,CONT003897,DEBARQUEMENT_CAMION,QUAI_3_FLUVIAL,GERBEUR_01,26.0,OPE011,True,False,True
