conteneur_id,taille,type,client_proprietaire,client_locataire,poids_brut_kg,statut_douane
CONT000060,"20""",DRY,CLIENT048,CLIENT028,29262.16667398112,BLOQUE
CONT000061,"40""",REEFER,CLIENT006,,18998.51796472112,LIBERE
CONT000062,"20""",DRY,CLIENT019,,23327.49382079526,LIBERE
CONT000063,"40""",DRY,CLIENT026,CLIENT002,35610.78098506317,LIBERE
CONT000064,"20""",DRY,CLIENT023,,15097.39578165344,LIBERE
CONT000065,"20""",DRY,CLIENT029,,13331.458284438686,LIBERE
CONT000066,"20""",DRY,CLIENT049,CLIENT044,28873.170267146685,LIBERE
CONT000067,"20""",DRY,CLIENT036,,16897.233911794905,LIBERE
CONT000068,"20""",DRY,CLIENT048,,17849.293110196835,LIBERE
CONT000069,"40""",OPENTOP,CLIENT046,CLIENT013,20092.456744760246,LIBERE
CONT000070,"40""",DRY,CLIENT042,,27310.517371316353,LIBERE
CONT000071,"45""",DRY,CLIENT004,CLIENT044,32930.08408072676,LIBERE
CONT000072,"40""",FLATRACK,CLIENT049,CLIENT029,18810.922505865754,LIBERE
CONT000073,"45""",FLATRACK,CLIENT012,,26404.959338675162,LIBERE
CONT000074,"20""",OPENTOP,CLIENT035,CLIENT002,21886.502400897032,LIBERE
CONT000075,"40""",DRY,CLIENT001,CLIENT031,13071.046457895141,LIBERE
CONT000076,"40""",REEFER,CLIENT034,,21535.45202369673,EN_ATTENTE
CONT000077,"20""",DRY,CLIENT037,,28736.46802561631,BLOQUE
CONT000078,"40""",DRY,CLIENT013,CLIENT039,28051.851327167326,LIBERE
CONT000079,"20""",FLATRACK,CLIENT018,,23911.5939838639,LIBERE
CONT000080,"40""",DRY,CLIENT047,,30493.88425993595,EN_ATTENTE
CONT000081,"40""",OPENTOP,CLIENT042,CLIENT036,14045.858913884891,LIBERE
CONT000082,"20""",FLATRACK,CLIENT041,,23448.666217032718,LIBERE
CONT000083,"20""",TANK,CLIENT008,,25484.97982496359,LIBERE
CONT000084,"40""",DRY,CLIENT005,,13785.471076310741,LIBERE
CONT000085,"40""",OPENTOP,CLIENT018,,28120.599085260776,LIBERE
CONT000086,"40""",DRY,CLIENT020,,28141.7275463214,LIBERE
CONT000087,"40""",OPENTOP,CLIENT002,,20872.514016037443,LIBERE
CONT000088,"40""",DRY,CLIENT046,CLIENT019,23393.070791735034,LIBERE
CONT000089,"20""",REEFER,CLIENT017,,22644.808471908385,LIBERE
CONT000090,"45""",DRY,CLIENT030,,26160.249686788182,LIBERE
CONT000091,"40""",FLATRACK,CLIENT001,,21407.77889373782,LIBERE
CONT000092,"40""",DRY,CLIENT039,,11359.658544864458,EN_ATTENTE
CONT000093,"20""",DRY,CLIENT016,CLIENT045,24907.43432003805,LIBERE
CONT000094,"20""",DRY,CLIENT028,,23556.70680539931,LIBERE
CONT000095,"40""",DRY,CLIENT003,CLIENT026,24456.19925771571,LIBERE
CONT000096,"40""",DRY,CLIENT017,CLIENT046,13205.135166296825,BLOQUE
CONT000097,"20""",TANK,CLIENT001,,12672.27744543125,LIBERE
CONT000098,"40""",TANK,CLIENT026,CLIENT047,25062.962003908975,LIBERE
CONT000099,"40""",REEFER,CLIENT021,,35765.91228755778,LIBERE
CONT000100,"45""",DRY,CLIENT039,,9697.957311335851,LIBERE
CONT000101,"45""",OPENTOP,CLIENT031,,18569.408799653018,LIBERE
CONT000102,"20""",DRY,CLIENT024,CLIENT028,20958.508573224244,LIBERE
CONT000103,"40""",DRY,CLIENT016,,26708.779878885798,LIBERE
CONT000104,"40""",REEFER,CLIENT022,,34380.85419607943,LIBERE
CONT000105,"45""",OPENTOP,CLIENT013,,18398.83396489679,EN_ATTENTE
CONT000106,"40""",DRY,CLIENT006,,34157.293829271766,LIBERE
CONT000107,"20""",OPENTOP,CLIENT048,,16434.32735454561,BLOQUE
CONT000108,"40""",OPENTOP,CLIENT002,CLIENT043,31769.361870827066,LIBERE
CONT000109,"40""",DRY,CLIENT041,CLIENT038,25026.218498590915,LIBERE
CONT000110,"45""",OPENTOP,CLIENT038,CLIENT014,25234.90296882371,LIBERE
CONT000111,"40""",DRY,CLIENT015,CLIENT030,25601.478158559494,LIBERE
CONT000112,"40""",DRY,CLIENT009,,27572.194170293744,LIBERE
CONT000113,"20""",REEFER,CLIENT032,,16653.45592656757,LIBERE
CONT000114,"40""",DRY,CLIENT039,,12347.023902878576,LIBERE
CONT000115,"40""",DRY,CLIENT020,,13936.127848755443,LIBERE
CONT000116,"20""",DRY,CLIENT038,,16105.894672597045,LIBERE
CONT000117,"20""",DRY,CLIENT046,,8450.224462002676,EN_ATTENTE
CONT000118,"20""",DRY,CLIENT045,,14803.839111199497,LIBERE
CONT000119,"20""",DRY,CLIENT012,,16483.087803224225,LIBERE
CONT000120,"45""",DRY,CLIENT016,,11833.356903310143,LIBERE
CONT000121,"40""",DRY,CLIENT040,,13099.794738290544,LIBERE
CONT000122,"20""",OPENTOP,CLIENT036,,20300.601068363223,LIBERE
CONT000123,"40""",DRY,CLIENT020,,22348.711908137797,LIBERE
CONT000124,"20""",DRY,CLIENT036,,9621.381503212968,LIBERE
CONT000125,"20""",DRY,CLIENT010,CLIENT043,34823.625664581945,LIBERE
CONT000126,"40""",DRY,CLIENT027,,25176.317759858644,LIBERE
CONT000127,"40""",FLATRACK,CLIENT021,,24438.35975154585,EN_ATTENTE
CONT000128,"40""",DRY,CLIENT039,,11337.091201400332,LIBERE
CONT000129,"20""",DRY,CLIENT041,,17424.044689007238,LIBERE
CONT000130,"40""",DRY,CLIENT050,,31834.371337222623,LIBERE
CONT000131,"40""",OPENTOP,CLIENT003,,21236.642425365713,LIBERE
CONT000132,"40""",DRY,CLIENT050,,15358.72473430373,LIBERE
CONT000133,"20""",DRY,CLIENT003,,21767.13557878737,LIBERE
CONT000134,"40""",DRY,CLIENT049,,8755.355989156815,LIBERE
CONT000135,"40""",DRY,CLIENT019,CLIENT013,12232.104922942855,LIBERE
CONT000136,"40""",DRY,CLIENT028,,20693.578993358682,LIBERE
CONT000137,"20""",DRY,CLIENT033,,29630.887737658206,LIBERE
CONT000138,"45""",DRY,CLIENT047,CLIENT003,34547.08320235065,LIBERE
CONT000139,"20""",DRY,CLIENT005,,21746.787154390866,LIBERE
CONT000140,"20""",DRY,CLIENT046,,22564.37308117652,EN_ATTENTE
CONT000141,"20""",DRY,CLIENT020,,26352.284128899195,LIBERE
CONT000142,"20""",TANK,CLIENT001,,11849.28567165259,EN_ATTENTE
CONT000143,"40""",DRY,CLIENT014,,27504.585938121905,EN_ATTENTE
CONT000144,"40""",DRY,CLIENT030,CLIENT036,20112.223776007246,LIBERE
CONT000145,"40""",DRY,CLIENT025,,21183.704217287417,LIBERE
CONT000146,"20""",DRY,CLIENT009,,15975.589496677405,LIBERE
CONT000147,"20""",DRY,CLIENT027,,24669.601006763416,LIBERE
CONT000148,"20""",DRY,CLIENT012,CLIENT045,18944.919001187714,LIBERE
CONT000149,"20""",TANK,CLIENT030,,30031.464046072204,LIBERE
CONT000150,"40""",OPENTOP,CLIENT014,CLIENT027,22115.540652384258,LIBERE
CONT000151,"40""",DRY,CLIENT038,,27885.3606359027,EN_ATTENTE
CONT000152,"45""",DRY,CLIENT046,CLIENT008,23984.773069785035,LIBERE
CONT000153,"45""",DRY,CLIENT007,,12259.7693624187,LIBERE
CONT000154,"40""",DRY,CLIENT032,,11532.968293823762,LIBERE
CONT000155,"20""",DRY,CLIENT034,,13183.356427134891,LIBERE
CONT000156,"40""",DRY,CLIENT017,,22895.077595898685,EN_ATTENTE
CONT000157,"20""",OPENTOP,CLIENT006,,14809.37732411073,LIBERE
CONT000158,"20""",REEFER,CLIENT003,CLIENT037,8975.741067247787,LIBERE
CONT000159,"20""",OPENTOP,CLIENT033,,14488.216743550467,EN_ATTENTE
CONT000160,"40""",DRY,CLIENT016,CLIENT004,13944.323454960575,EN_ATTENTE
CONT000161,"40""",DRY,CLIENT044,,13015.489222483242,LIBERE
CONT000162,"40""",OPENTOP,CLIENT050,,22923.560430495992,LIBERE
CONT000163,"20""",DRY,CLIENT036,,29151.679082721228,LIBERE
CONT000164,"40""",OPENTOP,CLIENT023,,20719.580870455662,EN_ATTENTE
CONT000165,"20""",OPENTOP,CLIENT019,,23650.625323533142,LIBERE
CONT000166,"20""",DRY,CLIENT005,,20106.181421088462,LIBERE
CONT000167,"40""",DRY,CLIENT047,,13240.304709671102,LIBERE
CONT000168,"20""",DRY,CLIENT029,,34383.97906279033,EN_ATTENTE
CONT000169,"40""",DRY,CLIENT026,,13963.096969062173,LIBERE
CONT000170,"40""",DRY,CLIENT001,,24722.076645447723,LIBERE
CONT000171,"20""",OPENTOP,CLIENT012,,12328.184383814678,LIBERE
CONT000172,"45""",REEFER,CLIENT035,CLIENT036,28628.833119493458,LIBERE
CONT000173,"40""",DRY,CLIENT015,,32965.93313319699,EN_ATTENTE
CONT000174,"45""",DRY,CLIENT046,,22443.921617844073,LIBERE
CONT000175,"45""",OPENTOP,CLIENT028,,25278.624561443474,LIBERE
CONT000176,"20""",DRY,CLIENT021,,15282.574555412846,LIBERE
CONT000177,"40""",DRY,CLIENT012,,19939.478123699162,LIBERE
CONT000178,"45""",DRY,CLIENT040,,16725.716640671155,LIBERE
CONT000179,"40""",DRY,CLIENT006,,11221.225945909186,LIBERE
CONT000180,"20""",DRY,CLIENT022,,17484.285234409468,LIBERE
CONT000181,"45""",DRY,CLIENT040,,34244.78047472672,LIBERE
CONT000182,"40""",DRY,CLIENT002,CLIENT030,30632.825147738786,BLOQUE
CONT000183,"20""",DRY,CLIENT011,,19720.079409749582,LIBERE
CONT000184,"40""",DRY,CLIENT030,,25296.092170072443,EN_ATTENTE
CONT000185,"20""",DRY,CLIENT024,,24836.23364892001,LIBERE
CONT000186,"20""",OPENTOP,CLIENT050,,22282.876144331174,LIBERE
CONT000187,"40""",DRY,CLIENT019,,15738.255577492888,LIBERE
CONT000188,"20""",OPENTOP,CLIENT040,,14633.048837959253,EN_ATTENTE
CONT000189,"20""",DRY,CLIENT027,CLIENT014,19447.120772670856,LIBERE
CONT000190,"20""",REEFER,CLIENT042,,33761.35221711811,LIBERE
CONT000191,"20""",DRY,CLIENT027,,28608.360320216176,LIBERE
CONT000192,"20""",OPENTOP,CLIENT032,,19354.741143913852,LIBERE
CONT000193,"40""",DRY,CLIENT023,,23798.373009209325,LIBERE
CONT000194,"40""",OPENTOP,CLIENT008,,10875.537577351208,LIBERE
CONT000195,"40""",DRY,CLIENT032,,27965.50628984192,LIBERE
CONT000196,"20""",DRY,CLIENT036,,11071.36068205803,LIBERE
CONT000197,"20""",DRY,CLIENT010,CLIENT007,14772.081057620704,EN_ATTENTE
CONT000198,"20""",DRY,CLIENT014,,24075.489317785054,LIBERE
CONT000199,"40""",DRY,CLIENT012,,8158.7119425111505,LIBERE
CONT000200,"40""",DRY,CLIENT027,,17264.382545953093,EN_ATTENTE
CONT000201,"40""",DRY,CLIENT031,CLIENT024,24811.826487875758,EN_ATTENTE
CONT000202,"40""",DRY,CLIENT002,,30516.509410082606,LIBERE
CONT000203,"20""",DRY,CLIENT031,,18259.072889471434,LIBERE
CONT000204,"40""",TANK,CLIENT028,CLIENT050,28716.320470113576,LIBERE
CONT000205,"20""",DRY,CLIENT048,,25979.226275488407,LIBERE
CONT000206,"40""",REEFER,CLIENT011,,20108.13611192484,EN_ATTENTE
CONT000207,"20""",DRY,CLIENT002,,26280.14867156938,LIBERE
CONT000208,"40""",DRY,CLIENT014,,14948.07295183654,EN_ATTENTE
CONT000209,"40""",DRY,CLIENT049,CLIENT016,21875.907111521607,LIBERE
CONT000210,"40""",DRY,CLIENT041,,25130.45525105417,LIBERE
CONT000211,"20""",DRY,CLIENT048,,9230.300261667287,LIBERE
CONT000212,"20""",DRY,CLIENT006,,18241.57697191833,LIBERE
CONT000213,"40""",FLATRACK,CLIENT037,CLIENT005,9424.92665945636,LIBERE
CONT000214,"20""",DRY,CLIENT047,,28501.549397044957,LIBERE
CONT000215,"40""",DRY,CLIENT022,,30746.36663142838,LIBERE
CONT000216,"20""",REEFER,CLIENT044,CLIENT007,21484.117874370564,LIBERE
CONT000217,"40""",DRY,CLIENT024,CLIENT009,14123.255806366426,LIBERE
CONT000218,"40""",DRY,CLIENT039,,22187.666120528662,LIBERE
CONT000219,"20""",DRY,CLIENT046,,11776.699712699861,LIBERE
CONT000220,"40""",OPENTOP,CLIENT033,,28103.36048775339,LIBERE
CONT000221,"40""",REEFER,CLIENT047,CLIENT034,29169.61077274452,LIBERE
CONT000222,"40""",DRY,CLIENT009,CLIENT020,27295.900396142184,BLOQUE
CONT000223,"45""",DRY,CLIENT045,,13288.854657397758,LIBERE
CONT000224,"40""",FLATRACK,CLIENT038,CLIENT023,12623.063061489334,LIBERE
CONT000225,"40""",DRY,CLIENT019,,11881.334538430036,EN_ATTENTE
CONT000226,"40""",DRY,CLIENT028,CLIENT034,14044.502092117873,EN_ATTENTE
CONT000227,"20""",DRY,CLIENT037,CLIENT009,10696.511317703053,LIBERE
CONT000228,"40""",DRY,CLIENT007,,23454.139382656802,LIBERE
CONT000229,"20""",DRY,CLIENT034,,32234.889421768665,LIBERE
CONT000230,"40""",OPENTOP,CLIENT029,,25982.773882557874,LIBERE
CONT000231,"20""",DRY,CLIENT041,,25411.419946377122,EN_ATTENTE
CONT000232,"40""",TANK,CLIENT017,CLIENT018,30327.401875326756,LIBERE
CONT000233,"40""",DRY,CLIENT034,,18896.694370857753,EN_ATTENTE
CONT000234,"45""",OPENTOP,CLIENT014,,10911.484318681023,LIBERE
CONT000235,"40""",REEFER,CLIENT046,,22899.065914520714,LIBERE
CONT000236,"20""",DRY,CLIENT027,CLIENT031,23591.076955697463,LIBERE
CONT000237,"20""",DRY,CLIENT008,,11895.945337839656,LIBERE
CONT000238,"40""",DRY,CLIENT026,,26171.073662682604,EN_ATTENTE
CONT000239,"40""",DRY,CLIENT004,,29921.611992382917,EN_ATTENTE
CONT000240,"40""",DRY,CLIENT012,,23930.055778872455,LIBERE
CONT000241,"45""",DRY,CLIENT045,,25832.26104106528,LIBERE
CONT000242,"40""",DRY,CLIENT045,,27462.256320040746,LIBERE
CONT000243,"20""",DRY,CLIENT037,CLIENT049,10087.838618080446,LIBERE
CONT000244,"45""",OPENTOP,CLIENT022,CLIENT023,30945.082655537757,EN_ATTENTE
CONT000245,"45""",DRY,CLIENT047,CLIENT017,32102.521239949274,LIBERE
CONT000246,"20""",OPENTOP,CLIENT023,,22146.26853125262,LIBERE
CONT000247,"20""",DRY,CLIENT050,,32737.526006650307,LIBERE
CONT000248,"40""",DRY,CLIENT019,,33979.38836547761,LIBERE
CONT000249,"40""",TANK,CLIENT049,CLIENT001,12857.596172174715,LIBERE
CONT000250,"40""",DRY,CLIENT048,,26672.283949935125,LIBERE
CONT000251,"20""",DRY,CLIENT013,CLIENT044,24834.365135631015,LIBERE
CONT000252,"20""",REEFER,CLIENT005,CLIENT032,33972.78931758894,LIBERE
CONT000253,"40""",DRY,CLIENT023,CLIENT015,19580.797277620866,EN_ATTENTE
CONT000254,"20""",REEFER,CLIENT005,,10407.393681239038,LIBERE
CONT000255,"20""",OPENTOP,CLIENT030,,27953.274153461545,EN_ATTENTE
CONT000256,"40""",REEFER,CLIENT003,CLIENT034,30543.517902914537,EN_ATTENTE
CONT000257,"40""",REEFER,CLIENT030,CLIENT036,16146.476973112582,LIBERE
CONT000258,"40""",OPENTOP,CLIENT043,CLIENT040,13946.129662768928,LIBERE
CONT000259,"40""",DRY,CLIENT035,CLIENT044,15619.52689952507,LIBERE
CONT000260,"40""",OPENTOP,CLIENT004,,9549.192987038292,LIBERE
CONT000261,"20""",DRY,CLIENT009,,25955.49534009952,LIBERE
CONT000262,"20""",DRY,CLIENT050,,25232.182740780743,LIBERE
CONT000263,"40""",DRY,CLIENT032,,26246.918418553778,BLOQUE
CONT000264,"20""",DRY,CLIENT016,,32887.26639881737,EN_ATTENTE
CONT000265,"20""",FLATRACK,CLIENT015,CLIENT007,10660.699156348415,LIBERE
CONT000266,"40""",DRY,CLIENT009,CLIENT006,12582.269978694923,LIBERE
CONT000267,"20""",DRY,CLIENT001,,22205.39076364206,LIBERE
CONT000268,"20""",DRY,CLIENT027,CLIENT007,26886.059375322606,LIBERE
CONT000269,"40""",OPENTOP,CLIENT023,CLIENT032,10334.401419920405,LIBERE
CONT000270,"45""",DRY,CLIENT023,,34405.78534720295,LIBERE
CONT000271,"20""",OPENTOP,CLIENT046,,19893.835914346433,LIBERE
CONT000272,"40""",REEFER,CLIENT005,CLIENT048,28541.782236496765,LIBERE
CONT000273,"45""",DRY,CLIENT026,,28251.005889793305,LIBERE
CONT000274,"40""",DRY,CLIENT018,,24504.120681103086,LIBERE
CONT000275,"45""",DRY,CLIENT044,,11276.29182643101,LIBERE
CONT000276,"20""",REEFER,CLIENT002,CLIENT036,13056.16618954289,LIBERE
CONT000277,"40""",DRY,CLIENT013,CLIENT031,26713.626731888522,LIBERE
CONT000278,"40""",OPENTOP,CLIENT020,CLIENT014,13370.259657461353,LIBERE
CONT000279,"20""",DRY,CLIENT040,CLIENT019,12589.56350910441,LIBERE
CONT000280,"40""",DRY,CLIENT049,CLIENT015,28545.01878794256,LIBERE
CONT000281,"40""",DRY,CLIENT043,,24799.210246778282,LIBERE
CONT000282,"40""",DRY,CLIENT008,,17846.124489409758,LIBERE
CONT000283,"20""",DRY,CLIENT044,,22738.468403754618,LIBERE
CONT000284,"20""",REEFER,CLIENT040,,4728.36202011313,EN_ATTENTE
CONT000285,"40""",DRY,CLIENT012,CLIENT038,9099.071570612361,LIBERE
CONT000286,"45""",DRY,CLIENT005,,24761.4432192901,LIBERE
CONT000287,"40""",REEFER,CLIENT022,,23895.17913085168,LIBERE
CONT000288,"40""",DRY,CLIENT026,,25134.429194972654,LIBERE
CONT000289,"20""",DRY,CLIENT014,,19991.89995052542,LIBERE
CONT000290,"40""",OPENTOP,CLIENT005,CLIENT037,11156.699121342135,LIBERE
CONT000291,"20""",DRY,CLIENT030,,31996.77718293001,LIBERE
CONT000292,"45""",DRY,CLIENT037,,14773.901048738306,LIBERE
CONT000293,"40""",OPENTOP,CLIENT014,,14685.579660083196,LIBERE
CONT000294,"40""",DRY,CLIENT023,,28175.859008409847,EN_ATTENTE
CONT000295,"40""",OPENTOP,CLIENT025,,35376.30436312633,LIBERE
CONT000296,"40""",DRY,CLIENT035,,21554.06090955216,LIBERE
CONT000297,"20""",DRY,CLIENT019,CLIENT041,23398.2634590284,BLOQUE
CONT000298,"20""",DRY,CLIENT012,,27120.82973200958,LIBERE
CONT000299,"40""",DRY,CLIENT005,,17182.629510302133,LIBERE
CONT000300,"45""",TANK,CLIENT013,,27181.61834837016,LIBERE
CONT000301,"20""",REEFER,CLIENT041,,23713.117312883274,EN_ATTENTE
CONT000302,"40""",REEFER,CLIENT030,,16657.079630612054,LIBERE
CONT000303,"20""",DRY,CLIENT020,,26122.25909279986,LIBERE
CONT000304,"40""",DRY,CLIENT032,,15141.294907836464,EN_ATTENTE
CONT000305,"45""",DRY,CLIENT040,,28261.6143920671,EN_ATTENTE
CONT000306,"20""",DRY,CLIENT025,CLIENT033,7270.823529047252,LIBERE
CONT000307,"40""",DRY,CLIENT015,,13482.090558848216,LIBERE
CONT000308,"20""",TANK,CLIENT020,CLIENT026,26303.368829119536,LIBERE
CONT000309,"40""",DRY,CLIENT031,CLIENT046,27718.000772972162,LIBERE
CONT000310,"40""",DRY,CLIENT029,,23146.92833956947,LIBERE
CONT000311,"20""",DRY,CLIENT042,,18526.59262139547,LIBERE
CONT000312,"20""",TANK,CLIENT007,,15482.480362135559,LIBERE
CONT000313,"20""",DRY,CLIENT009,,25384.109455301277,LIBERE
CONT000314,"40""",DRY,CLIENT031,,8151.023327434292,LIBERE
CONT000315,"40""",REEFER,CLIENT017,,23256.739327960706,LIBERE
CONT000316,"40""",REEFER,CLIENT004,,23253.711478407855,LIBERE
CONT000317,"40""",OPENTOP,CLIENT015,,15090.850362095527,LIBERE
CONT000318,"20""",DRY,CLIENT002,,12716.36747707954,LIBERE
CONT000319,"40""",FLATRACK,CLIENT021,,14197.920231646738,LIBERE
CONT000320,"40""",DRY,CLIENT040,,24596.41709945709,LIBERE
CONT000321,"45""",TANK,CLIENT050,,29581.638373512407,LIBERE
CONT000322,"40""",DRY,CLIENT001,,26732.442379489963,LIBERE
CONT000323,"20""",DRY,CLIENT040,CLIENT034,30540.91408368758,LIBERE
CONT000324,"40""",TANK,CLIENT044,,19800.470364372348,LIBERE
CONT000325,"40""",DRY,CLIENT029,CLIENT012,24046.58799618327,LIBERE
CONT000326,"40""",FLATRACK,CLIENT040,,26087.164365898614,LIBERE
CONT000327,"40""",DRY,CLIENT005,,26005.49523357484,LIBERE
CONT000328,"45""",REEFER,CLIENT036,CLIENT042,30253.27198003806,LIBERE
CONT000329,"20""",REEFER,CLIENT008,,16900.294596903288,LIBERE
CONT000330,"40""",TANK,CLIENT033,,19268.27303490656,LIBERE
CONT000331,"45""",DRY,CLIENT030,CLIENT047,26606.786077251367,LIBERE
CONT000332,"40""",OPENTOP,CLIENT019,,13265.762262705854,LIBERE
CONT000333,"20""",REEFER,CLIENT004,CLIENT044,27987.00034924929,LIBERE
CONT000334,"40""",OPENTOP,CLIENT045,,14103.518226932694,LIBERE
CONT000335,"40""",DRY,CLIENT025,,19518.62456552399,LIBERE
CONT000336,"40""",DRY,CLIENT045,,17799.745587028527,LIBERE
CONT000337,"20""",DRY,CLIENT038,,33210.07580068184,LIBERE
CONT000338,"40""",DRY,CLIENT046,,30049.085446713172,EN_ATTENTE
CONT000339,"40""",DRY,CLIENT046,,7831.282599709212,LIBERE
CONT000340,"40""",DRY,CLIENT001,,16773.00626521554,LIBERE
CONT000341,"40""",REEFER,CLIENT034,,14276.785769360296,LIBERE
CONT000342,"45""",DRY,CLIENT005,,26405.95711984688,EN_ATTENTE
CONT000343,"20""",DRY,CLIENT038,,6921.129557413844,LIBERE
CONT000344,"20""",OPENTOP,CLIENT031,,24508.30186602625,LIBERE
CONT000345,"20""",DRY,CLIENT036,,20051.85931714831,LIBERE
CONT000346,"20""",DRY,CLIENT047,,29703.85593994108,LIBERE
CONT000347,"20""",DRY,CLIENT024,,21993.161780243932,LIBERE
CONT000348,"20""",TANK,CLIENT033,,26598.909670712685,LIBERE
CONT000349,"40""",DRY,CLIENT034,,12375.673507943722,BLOQUE
CONT000350,"40""",OPENTOP,CLIENT026,,10711.78337662424,EN_ATTENTE
CONT000351,"20""",DRY,CLIENT034,,7792.184184600919,EN_ATTENTE
CONT000352,"45""",DRY,CLIENT022,,17248.730229560817,LIBERE
CONT000353,"40""",DRY,CLIENT006,,11115.150965123918,LIBERE
CONT000354,"20""",DRY,CLIENT036,,31238.71036336867,LIBERE
CONT000355,"40""",DRY,CLIENT041,,28168.884404660494,LIBERE
CONT000356,"20""",DRY,CLIENT014,,27068.995487257493,LIBERE
CONT000357,"40""",DRY,CLIENT009,CLIENT016,22212.54107496083,LIBERE
CONT000358,"40""",TANK,CLIENT038,,18150.985102104612,LIBERE
